season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
2009,4,bahrain,kubica,1984-12-07,Polish,bmw_sauber,13,,+1 Lap,0.0,18,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,heidfeld,1977-05-10,German,bmw_sauber,14,,+1 Lap,0.0,19,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,nakajima,1985-01-11,Japanese,williams,12,,Oil pressure,0.0,20,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,5,catalunya,button,1980-01-19,British,brawn,1,5839202.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,barrichello,1972-05-23,Brazilian,brawn,3,5852258.0,Finished,8.0,2,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,webber,1976-08-27,Australian,red_bull,5,5853126.0,Finished,6.0,3,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,vettel,1987-07-03,German,red_bull,2,5858143.0,Finished,5.0,4,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,alonso,1981-07-29,Spanish,renault,8,5882368.0,Finished,4.0,5,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,massa,1981-04-25,Brazilian,ferrari,4,5890029.0,Finished,3.0,6,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,heidfeld,1977-05-10,German,bmw_sauber,13,5891514.0,Finished,2.0,7,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,rosberg,1985-06-27,German,williams,9,5904413.0,Finished,1.0,8,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,hamilton,1985-01-07,British,mclaren,14,,+1 Lap,0.0,9,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,glock,1982-03-18,German,toyota,6,,+1 Lap,0.0,10,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,kubica,1984-12-07,Polish,bmw_sauber,10,,+1 Lap,0.0,11,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,piquet_jr,1985-07-25,Brazilian,renault,12,,+1 Lap,0.0,12,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,nakajima,1985-01-11,Japanese,williams,11,,+1 Lap,0.0,13,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,fisichella,1973-01-14,Italian,force_india,20,,+1 Lap,0.0,14,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,raikkonen,1979-10-17,Finnish,ferrari,16,,Hydraulics,0.0,15,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,kovalainen,1981-10-19,Finnish,mclaren,18,,Gearbox,0.0,16,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,trulli,1974-07-13,Italian,toyota,7,,Collision,0.0,17,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,buemi,1988-10-31,Swiss,toro_rosso,15,,Collision,0.0,18,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,bourdais,1979-02-28,French,toro_rosso,17,,Collision,0.0,19,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,5,catalunya,sutil,1983-01-11,German,force_india,19,,Collision,0.0,20,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,6,monaco,button,1980-01-19,British,brawn,1,6044282.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,barrichello,1972-05-23,Brazilian,brawn,3,6051948.0,Finished,8.0,2,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
