season,round,circuit_id,lat,long,country,date,url
2012,13,monza,45.6156,9.28111,Italy,2012-09-09,http://en.wikipedia.org/wiki/2012_Italian_Grand_Prix
2012,14,marina_bay,1.2914,103.864,Singapore,2012-09-23,http://en.wikipedia.org/wiki/2012_Singapore_Grand_Prix
2012,15,suzuka,34.8431,136.541,Japan,2012-10-07,http://en.wikipedia.org/wiki/2012_Japanese_Grand_Prix
2012,16,yeongam,34.7333,126.417,Korea,2012-10-14,http://en.wikipedia.org/wiki/2012_Korean_Grand_Prix
2012,17,buddh,28.3487,77.5331,India,2012-10-28,http://en.wikipedia.org/wiki/2012_Indian_Grand_Prix
2012,18,yas_marina,24.4672,54.6031,UAE,2012-11-04,http://en.wikipedia.org/wiki/2012_Abu_Dhabi_Grand_Prix
2012,19,americas,30.1328,-97.6411,USA,2012-11-18,http://en.wikipedia.org/wiki/2012_United_States_Grand_Prix
2012,20,interlagos,-23.7036,-46.6997,Brazil,2012-11-25,http://en.wikipedia.org/wiki/2012_Brazilian_Grand_Prix
2013,1,albert_park,-37.8497,144.968,Australia,2013-03-17,http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix
2013,2,sepang,2.76083,101.738,Malaysia,2013-03-24,http://en.wikipedia.org/wiki/2013_Malaysian_Grand_Prix
2013,3,shanghai,31.3389,121.22,China,2013-04-14,http://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix
2013,4,bahrain,26.0325,50.5106,Bahrain,2013-04-21,http://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix
2013,5,catalunya,41.57,2.26111,Spain,2013-05-12,http://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix
2013,6,monaco,43.7347,7.42056,Monaco,2013-05-26,http://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix
2013,7,villeneuve,45.5,-73.5228,Canada,2013-06-09,http://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix
2013,8,silverstone,52.0786,-1.01694,UK,2013-06-30,http://en.wikipedia.org/wiki/2013_British_Grand_Prix
2013,9,nurburgring,50.3356,6.9475,Germany,2013-07-07,http://en.wikipedia.org/wiki/2013_German_Grand_Prix
2013,10,hungaroring,47.5789,19.2486,Hungary,2013-07-28,http://en.wikipedia.org/wiki/2013_Hungarian_Grand_Prix
2013,11,spa,50.4372,5.97139,Belgium,2013-08-25,http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix
2013,12,monza,45.6156,9.28111,Italy,2013-09-08,http://en.wikipedia.org/wiki/2013_Italian_Grand_Prix
2013,13,marina_bay,1.2914,103.864,Singapore,2013-09-22,http://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix
2013,14,yeongam,34.7333,126.417,Korea,2013-10-06,http://en.wikipedia.org/wiki/2013_Korean_Grand_Prix
2013,15,suzuka,34.8431,136.541,Japan,2013-10-13,http://en.wikipedia.org/wiki/2013_Japanese_Grand_Prix
2013,16,buddh,28.3487,77.5331,India,2013-10-27,http://en.wikipedia.org/wiki/2013_Indian_Grand_Prix
2013,17,yas_marina,24.4672,54.6031,UAE,2013-11-03,http://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix
2013,18,americas,30.1328,-97.6411,USA,2013-11-17,http://en.wikipedia.org/wiki/2013_United_States_Grand_Prix
2013,19,interlagos,-23.7036,-46.6997,Brazil,2013-11-24,http://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix
2014,1,albert_park,-37.8497,144.968,Australia,2014-03-16,https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix
2014,2,sepang,2.76083,101.738,Malaysia,2014-03-30,https://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix
2014,3,bahrain,26.0325,50.5106,Bahrain,2014-04-06,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix
2014,4,shanghai,31.3389,121.22,China,2014-04-20,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix
2014,5,catalunya,41.57,2.26111,Spain,2014-05-11,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix
2014,6,monaco,43.7347,7.42056,Monaco,2014-05-25,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix
2014,7,villeneuve,45.5,-73.5228,Canada,2014-06-08,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix
2014,8,red_bull_ring,47.2197,14.7647,Austria,2014-06-22,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix
2014,9,silverstone,52.0786,-1.01694,UK,2014-07-06,http://en.wikipedia.org/wiki/2014_British_Grand_Prix
2014,10,hockenheimring,49.3278,8.56583,Germany,2014-07-20,http://en.wikipedia.org/wiki/2014_German_Grand_Prix
2014,11,hungaroring,47.5789,19.2486,Hungary,2014-07-27,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix
2014,12,spa,50.4372,5.97139,Belgium,2014-08-24,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix
2014,13,monza,45.6156,9.28111,Italy,2014-09-07,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix
2014,14,marina_bay,1.2914,103.864,Singapore,2014-09-21,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix
2014,15,suzuka,34.8431,136.541,Japan,2014-10-05,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix
2014,16,sochi,43.4057,39.9578,Russia,2014-10-12,http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix
2014,17,americas,30.1328,-97.6411,USA,2014-11-02,http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix
2014,18,interlagos,-23.7036,-46.6997,Brazil,2014-11-09,http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix
2014,19,yas_marina,24.4672,54.6031,UAE,2014-11-23,http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix
2015,1,albert_park,-37.8497,144.968,Australia,2015-03-15,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix
2015,2,sepang,2.76083,101.738,Malaysia,2015-03-29,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix
2015,3,shanghai,31.3389,121.22,China,2015-04-12,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix
2015,4,bahrain,26.0325,50.5106,Bahrain,2015-04-19,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix
2015,5,catalunya,41.57,2.26111,Spain,2015-05-10,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix
2015,6,monaco,43.7347,7.42056,Monaco,2015-05-24,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix
2015,7,villeneuve,45.5,-73.5228,Canada,2015-06-07,http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix
2015,8,red_bull_ring,47.2197,14.7647,Austria,2015-06-21,http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix
2015,9,silverstone,52.0786,-1.01694,UK,2015-07-05,http://en.wikipedia.org/wiki/2015_British_Grand_Prix
2015,10,hungaroring,47.5789,19.2486,Hungary,2015-07-26,http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix
2015,11,spa,50.4372,5.97139,Belgium,2015-08-23,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix
2015,12,monza,45.6156,9.28111,Italy,2015-09-06,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix
2015,13,marina_bay,1.2914,103.864,Singapore,2015-09-20,https://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix
2015,14,suzuka,34.8431,136.541,Japan,2015-09-27,https://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix
2015,15,sochi,43.4057,39.9578,Russia,2015-10-11,https://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
2015,16,americas,30.1328,-97.6411,USA,2015-10-25,https://en.wikipedia.org/wiki/2015_United_States_Grand_Prix
2015,17,rodriguez,19.4042,-99.0907,Mexico,2015-11-01,https://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix
2015,18,interlagos,-23.7036,-46.6997,Brazil,2015-11-15,https://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix
2015,19,yas_marina,24.4672,54.6031,UAE,2015-11-29,https://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix
2016,1,albert_park,-37.8497,144.968,Australia,2016-03-20,https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix
2016,2,bahrain,26.0325,50.5106,Bahrain,2016-04-03,https://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix
2016,3,shanghai,31.3389,121.22,China,2016-04-17,https://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix
2016,4,sochi,43.4057,39.9578,Russia,2016-05-01,https://en.wikipedia.org/wiki/2016_Russian_Grand_Prix
